neuron_name	class	archive
C1q-Cell7-40x	pyramidal	Prince
Ctrl-Cell3-40x	pyramidal	Prince
1028ir2x-40x-NL	pyramidal	Luebke
Dec4IR3b-20x-NL	pyramidal	Luebke
Nov2IR3c	pyramidal	Luebke
Nov3IR1i-tgv	pyramidal	Luebke
Nov3ir2fo-stitch	pyramidal	Luebke
Nov4IR1b	pyramidal	Luebke
Nov4IR1e	pyramidal	Luebke
Nov4IR3b	pyramidal	Luebke
Nov4IR3e	pyramidal	Luebke
Nov6IR1d	pyramidal	Luebke
Nov6IR3a-20x-bt	pyramidal	Luebke
Oct5IR3h-20x-NL-tgv	pyramidal	Luebke
Oct6IR3c-20x-NL-tgv	pyramidal	Luebke
Oct28IR1b-40x-NL	pyramidal	Luebke
Apr14IR3c-20x-NL	pyramidal	Luebke
Apr15IR2c-20x-NL	pyramidal	Luebke
Jan8IR2b-20x-NL	pyramidal	Luebke
Jun1IR2c-tgv	pyramidal	Luebke
Jun1IR2h	pyramidal	Luebke
Nov2IR1slice1fo-tgv	pyramidal	Luebke
Nov2IR3b-20x-NL	pyramidal	Luebke
Nov4ir1slice3fo	pyramidal	Luebke
ms88_slice1_cell1	pyramidal	Mikhaylova
ms88_slice1_cell2	pyramidal	Mikhaylova
ms88_slice2	pyramidal	Mikhaylova
ms88_slice3_cell1	pyramidal	Mikhaylova
ms88_slice3_cell2	pyramidal	Mikhaylova
ms92_slice1_cell1	pyramidal	Mikhaylova
ms92_slice1_cell2	pyramidal	Mikhaylova
ms92_slice3	pyramidal	Mikhaylova
ms92_slice6_cell1	pyramidal	Mikhaylova
ms92_slice6_cell2	pyramidal	Mikhaylova
ms92_slice6_cell4	pyramidal	Mikhaylova
ms92_slice7	pyramidal	Mikhaylova
ms84_slice2	pyramidal	Mikhaylova
ms87_slice2	pyramidal	Mikhaylova
ms87_slice3	pyramidal	Mikhaylova
ms87_slice4	pyramidal	Mikhaylova
ms89_slice1_px	pyramidal	Mikhaylova
ms89_slice3	pyramidal	Mikhaylova
ms89_slice4_cell1	pyramidal	Mikhaylova
ms89_slice4_cell2	pyramidal	Mikhaylova
ms89_slice4_cell3	pyramidal	Mikhaylova
ms89_slice4_cell4	pyramidal	Mikhaylova
ms90_slice1	pyramidal	Mikhaylova
ms90_slice3	pyramidal	Mikhaylova
group2_cell1	pyramidal	Mikhaylova
group2_cell10	pyramidal	Mikhaylova
group2_cell11	pyramidal	Mikhaylova
group2_cell12	pyramidal	Mikhaylova
group2_cell13	pyramidal	Mikhaylova
group2_cell14	pyramidal	Mikhaylova
group2_cell15	pyramidal	Mikhaylova
group2_cell16	pyramidal	Mikhaylova
group2_cell17	pyramidal	Mikhaylova
group2_cell18	pyramidal	Mikhaylova
group2_cell19	pyramidal	Mikhaylova
group2_cell2	pyramidal	Mikhaylova
group2_cell20	pyramidal	Mikhaylova
group2_cell21	pyramidal	Mikhaylova
group2_cell22	pyramidal	Mikhaylova
group2_cell23	pyramidal	Mikhaylova
group2_cell24	pyramidal	Mikhaylova
group2_cell25	pyramidal	Mikhaylova
group2_cell26	pyramidal	Mikhaylova
group2_cell27	pyramidal	Mikhaylova
group2_cell28	pyramidal	Mikhaylova
group2_cell29	pyramidal	Mikhaylova
group2_cell3	pyramidal	Mikhaylova
group2_cell30	pyramidal	Mikhaylova
group2_cell4	pyramidal	Mikhaylova
group2_cell5	pyramidal	Mikhaylova
group2_cell6	pyramidal	Mikhaylova
group2_cell7	pyramidal	Mikhaylova
group2_cell8	pyramidal	Mikhaylova
group2_cell9	pyramidal	Mikhaylova
group1_cell1	pyramidal	Mikhaylova
group1_cell10	pyramidal	Mikhaylova
group1_cell11	pyramidal	Mikhaylova
group1_cell12	pyramidal	Mikhaylova
group1_cell13	pyramidal	Mikhaylova
group1_cell14	pyramidal	Mikhaylova
group1_cell15	pyramidal	Mikhaylova
group1_cell16	pyramidal	Mikhaylova
group1_cell17	pyramidal	Mikhaylova
group1_cell18	pyramidal	Mikhaylova
group1_cell19	pyramidal	Mikhaylova
group1_cell2	pyramidal	Mikhaylova
group1_cell20	pyramidal	Mikhaylova
group1_cell21	pyramidal	Mikhaylova
group1_cell22	pyramidal	Mikhaylova
group1_cell23	pyramidal	Mikhaylova
group1_cell24	pyramidal	Mikhaylova
group1_cell25	pyramidal	Mikhaylova
group1_cell26	pyramidal	Mikhaylova
group1_cell27	pyramidal	Mikhaylova
group1_cell28	pyramidal	Mikhaylova
group1_cell29	pyramidal	Mikhaylova
P110714-04-BC	basket	Hajos
p110715-04-BC	basket	Hajos
P111105-02-BC	basket	Hajos
P110715-02-BC	basket	Hajos
P110627-03-BC	basket	Hajos
P111103-01-BC	basket	Hajos
P111106-02-BC	basket	Hajos
P120121-02-BC	basket	Hajos
TT-04-03-14-1R	basket	Gonzalez-Burgos
TT-3-20-14-1R	basket	Gonzalez-Burgos
TT-02-23-4-1R	basket	Gonzalez-Burgos
TT-1-23-14-2R	basket	Gonzalez-Burgos
TT-01-28-14-2R	basket	Gonzalez-Burgos
TT-02-28-14-2R	basket	Gonzalez-Burgos
TT-02-21-14-2R	basket	Gonzalez-Burgos
TT-12-12-13-2R	basket	Gonzalez-Burgos
TT-01-28-14-1R	basket	Gonzalez-Burgos
GGB-12-31-2013-2R	basket	Gonzalez-Burgos
TM-09-09-15-BR	basket	Gonzalez-Burgos
GGB-7-24-15-1R	basket	Gonzalez-Burgos
TM-08-27-14-AR	basket	Gonzalez-Burgos
TM-08-26-14-AR	basket	Gonzalez-Burgos
TM-06-25-15-BR	basket	Gonzalez-Burgos
TM-06-23-15-ER	basket	Gonzalez-Burgos
Diego-02-27-13-BR	basket	Gonzalez-Burgos
TM-11-12-13-DR	basket	Gonzalez-Burgos
TM-11-12-13-ER	basket	Gonzalez-Burgos
TM-08-19-14-AR	basket	Gonzalez-Burgos
TT-10-31-2012-5R2	basket	Gonzalez-Burgos
Fig2C	basket	Wadiche
PV_Morphology_shRNA_Nek7_B1N6_S7L	basket	Rico
PV_Morphology_shRNA_Nek7_B3N18_S7L	basket	Rico
PV_Morphology_shRNA_Nek7_B5N18_S8L	basket	Rico
PV_Morphology_shRNA_Nek7_B1N6_S8L	basket	Rico
PV_Morphology_shRNA_Nek7_B2N18_S10L	basket	Rico
PV_Morphology_shRNA_Nek7_B4N6_S6L	basket	Rico
PV_Morphology_shRNA_Nek7_B1N6_S12L	basket	Rico
